,Time,D,T,S,U,KaiC,ATP
0,0,32.07453,23.22583,16.23466,28.46498,3.4,100
1,1,25.80237,16.70902,21.494,35.99461,3.4,100
2,2.83333,13.00753,9.26314,30.61895,47.11038,3.4,100
3,3.83333,9.46043,7.18825,32.13949,51.21184,3.4,100
4,4.83333,7.84428,6.07957,31.78975,54.2864,3.4,100
5,5.83,5.02651,4.42007,30.17948,60.37395,3.4,100
6,6.83,4.06086,2.83945,29.52165,63.57804,3.4,100
7,7.83,3.54522,4.19358,25.5627,66.6985,3.4,100
8,8.83,2.93466,3.25736,24.27179,69.53619,3.4,100
9,9.83,2.65099,2.18048,22.66057,72.50796,3.4,100
10,10.83,1.46518,2.08111,18.71755,77.73616,3.4,100
11,11.83,1.74264,2.22906,16.42182,79.60648,3.4,100
12,12.83,1.90923,2.67813,14.60391,80.80872,3.4,100
13,13.83,1.84319,2.31861,14.60406,81.23415,3.4,100
14,14.83,2.19746,3.00176,11.7878,83.01298,3.4,100
15,15.83,2.45738,1.96542,11.79488,83.78232,3.4,100
16,17.83,2.51666,1.71488,9.97756,85.7909,3.4,100
17,18.83,1.27756,1.70849,9.50204,87.51191,3.4,100
18,20.83,1.92697,2.12908,8.22825,87.7157,3.4,100
19,22.83,3.04798,2.39583,7.51792,87.03827,3.4,100
20,23.83,1.50287,1.66575,6.7699,90.06148,3.4,100
